pH,Ct_0,pH_Cl2,Replicate,Time,MCAN,MBAN,DCAN,BCAN,DBAN,TCAN,BDCAN
5.2,4,5.2_4,4,168,3.6125,2.027016659,2.103909344,0.765823543,0.652670722,0.361983279,0.619865069
5.2,4,5.2_4,4,288,3.6125,1.80554051,1.971619178,0.707708966,0.613136954,0.069256874,0.380123512
5.2,4,5.2_4,4,456,3.6125,1.714457849,1.887800845,0.683503351,0.593949359,0.026422628,0.34260635
6,0,6_0,1,1,3.2026,1.9602,2.6333,0.798425471,0.644163968,1.400570127,
6,0,6_0,1,3,,,,0,,,
6,0,6_0,1,6,2.8785,1.8658,2.785,0.756656097,0.628087601,1.325869098,
6,0,6_0,1,12,2.8062,1.8912,2.8037,0.780434395,0.640296427,1.355174777,
6,0,6_0,1,24,2.9661,1.9866,2.8168,0.850079012,0.720019927,1.315609043,
6,0,6_0,1,48,3.3083,2.194,2.8754,0.850471997,0.702725651,1.172970768,
6,0,6_0,1,72,3.4164,2.0349,3.0227,0.903970843,0.759467863,1.157444781,
6,0,6_0,1,96,3.4268,2.0526,2.8689,0.857313456,0.709547448,1.122784397,
6,0,6_0,1,168,2.9341,1.9748,3.124,0.747649619,0.624393175,0.940798474,
6,0,6_0,1,288,3.0247,2.0713,2.9836,0.871673239,0.732350169,0.791394537,
6,0,6_0,1,456,2.65,1.8166,2.4537,0.767661425,0.637943754,0.447794643,
6,0,6_0,2,1,3.5233,2.1594,2.8057,0.84731344,0.706612225,1.418200352,
6,0,6_0,2,3,,,,0,,,
6,0,6_0,2,6,3.2359,2.048,2.9014,0.768636431,0.628484398,1.324836801,
6,0,6_0,2,12,2.8737,1.9241,2.8172,0.777921362,0.640385715,1.346574779,
6,0,6_0,2,24,3.0821,2.0358,2.872,0.854107793,0.712793112,1.323310202,
6,0,6_0,2,48,2.84,1.9694,2.7095,0.811298356,0.668749588,1.105579958,
6,0,6_0,2,72,3.1699,1.8579,2.851,0.863285228,0.719989406,1.105568264,
6,0,6_0,2,96,3.3185,1.9919,2.8211,0.842941448,0.697467434,1.117655169,
6,0,6_0,2,168,2.8521,1.8881,3.0874,0.734461547,0.615551687,0.964009506,
6,0,6_0,2,288,2.7881,1.915,2.8258,0.827472346,0.688544665,0.778944619,
6,0,6_0,2,456,2.7266,1.9146,2.5346,0.792476537,0.649255806,0.454046623,
6.1,0.5,6.1_0.5,1,1,3.33025,2.137547897,2.487044013,0.807182278,0.589556844,2.016836997,1.199457074
6.1,0.5,6.1_0.5,1,3,3.33025,2.048188054,2.816060875,0.925423302,0.690617847,1.780989167,1.09423906
6.1,0.5,6.1_0.5,1,6,3.33025,2.053223368,2.292483063,0.755473141,0.559530425,1.883867157,1.203549665
6.1,0.5,6.1_0.5,1,12,3.378,2.226035182,2.120397611,0.711386728,0.529721267,1.689294535,1.122334156
6.1,0.5,6.1_0.5,1,24,3.405,2.244076918,2.267435348,0.758020971,0.557782852,1.506882387,1.083966313
6.1,0.5,6.1_0.5,1,48,3.393,2.236044906,2.367812792,0.790954235,0.588310703,1.253999678,0.968239782
6.1,0.5,6.1_0.5,1,72,3.17,2.089222911,2.324284655,0.796842879,0.597335154,1.041706494,0.888183535
6.1,0.5,6.1_0.5,1,96,3.25,2.14161171,2.496815931,0.844096623,0.629216821,0.942611478,0.785911759
6.1,0.5,6.1_0.5,1,168,3.514,2.316110008,2.424333981,0.820120396,0.61269774,0.602946971,0.698978599
6.1,0.5,6.1_0.5,1,288,3.32,2.188370599,2.105206289,0.784003826,0.59619665,0.244215126,0.554571336
6.1,0.5,6.1_0.5,1,456,3.212,2.117145761,2.087944344,0.728351236,0.545389932,0.089865319,0.359002784
6.1,0.5,6.1_0.5,2,1,3.260375,2.123368123,2.252553927,0.736886504,0.540302059,2.010352142,1.22621912
6.1,0.5,6.1_0.5,2,3,3.260375,2.144129611,2.368417205,0.773718179,0.56513398,1.910151035,1.105235138
6.1,0.5,6.1_0.5,2,6,3.260375,2.090852029,2.49294463,0.803233364,0.581275957,1.854233134,1.2053345
6.1,0.5,6.1_0.5,2,12,3.446,2.271044552,2.164496609,0.723837132,0.534934996,1.707511751,1.13808101
6.1,0.5,6.1_0.5,2,24,3.238,2.13409048,2.098069625,0.711681879,0.532667199,1.487746144,1.094284762
6.1,0.5,6.1_0.5,2,48,3.326,2.191696002,2.166455693,0.737458848,0.555746695,1.234082798,0.972448485
6.1,0.5,6.1_0.5,2,72,3.022,1.991552436,2.080606737,0.724914098,0.551052132,1.025172491,0.903218617
6.1,0.5,6.1_0.5,2,96,3.291,2.169068987,2.414179756,0.812067173,0.604746069,0.938940419,0.799133915
6.1,0.5,6.1_0.5,2,168,3.414,2.250164545,2.018694878,0.820120396,0.523276128,0.59413421,0.718035859
6.1,0.5,6.1_0.5,2,288,3.196,2.106404332,2.105206289,0.784003826,0.59619665,0.239481373,0.530047635
6.1,0.5,6.1_0.5,2,456,3.15,2.07584688,2.143720869,0.749225939,0.563831879,0.089954568,0.359920643
6.1,1,6.1_1,1,1,3.296,2.170103205,2.227986581,0.767500225,0.540353904,1.977085384,1.209880873
6.1,1,6.1_1,1,3,3.296,1.994799915,2.377482683,0.833465867,0.600225498,1.819367839,1.10206019
6.1,1,6.1_1,1,6,3.296,1.988102762,2.516323916,0.856585737,0.598667328,1.803053833,1.175107097
6.1,1,6.1_1,1,12,3.467,2.284926603,2.472916923,0.862118637,0.607175636,1.55797697,1.091221287
6.1,1,6.1_1,1,24,3.332,2.195879971,2.336952727,0.823451204,0.578008575,1.282799299,1.033460195
6.1,1,6.1_1,1,48,3.368,2.219543715,2.005736827,0.717022116,0.512026007,0.937000218,0.894312558
6.1,1,6.1_1,1,72,3.075,2.026427979,2.141522184,0.78387995,0.565342311,0.676215213,0.787791701
6.1,1,6.1_1,1,96,3.298,2.173893817,2.454840899,0.876503037,0.62382853,0.437530743,0.595600872
6.1,1,6.1_1,1,168,3.433,2.262471834,2.164481519,0.784606638,0.565255527,0.148843147,0.480669813
6.1,1,6.1_1,1,288,3.232,2.129859799,1.947344893,0.71719988,0.521581127,0.016419973,0.262718955
